site_number,time,species,honeybee/native/exotic,svd,proportion_agriculture,visits/flower/5mins,pollen_grains/5min
1,8:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,10:00,Lasioglossum sp,native,30.14285714,0.935875066,0.003448276,0.103940887
1,8:00,Delia sp,exotic,2.6535206,0.935875066,0.02173913,0.05768523
1,16:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,8:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,10:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,12:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,18:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,16:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,18:00,Delia sp,exotic,2.6535206,0.935875066,0.022727273,0.060307286
1,14:00,Lasioglossum sp,native,30.14285714,0.935875066,0.037267081,1.123336291
1,12:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,16:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.012121212,0.077134986
1,18:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,18:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,8:00,Delia sp,exotic,2.6535206,0.935875066,0.023809524,0.063179062
1,8:00,Apis mellifera,honeybee,123.03125,0.935875066,0,0
1,8:00,Delia sp,exotic,2.6535206,0.935875066,0.021505376,0.057064959
1,14:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,14:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,16:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,16:00,Bombus terrestris,exotic,236.625,0.935875066,0.00617284,1.460648148
1,12:00,Delia sp,exotic,2.6535206,0.935875066,0.023076923,0.061235091
1,10:00,Delia sp,exotic,2.6535206,0.935875066,0.010344828,0.027450213
1,18:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,20:00,Apis mellifera,honeybee,123.03125,0.935875066,0,0
1,18:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,14:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,16:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
